subID,sibID,sex,sib,sibType,age,kinsey,ethnic,medPitch_s1,meanPitch_s1,minPitch_s1,maxPitch_s1,sdPitch_s1,f1 med_s1,f1 mean_s1,f2 med_s1,f2 mean_s1,f3 med_s1,f3 mean_s1,f4 med_s1,f4 mean_s1,medPitch_s2,meanPitch_s2,minPitch_s2,maxPitch_s2,sdPitch_s2,f1 med_s2,f1 mean_s2,f2 med_s2,f2 mean_s2,f3 med_s2,f3 mean_s2,f4 med_s2,f4 mean_s2
1519,9,m,1052,Full,19,,6,123.65,125.42,73.52,299.91,17.18,418.99,444.77,1446.46,1451.88,2522.02,2490.8,3289.48,3308.51,141.24,143.99,69.21,210.38,15.48,416.16,446.12,1478.71,1480.1,2457.76,2434.32,3337.62,3351.65
1089,20,m,"1093, 1096, 1314","1 Full B, 2 Full S (identical)",20,,6,94.05,94.98,73.57,260.86,11.72,458.27,497.31,1489.02,1511.8,2455.67,2465.69,3293.03,3324.3,93.74,95.52,74.66,266.27,11.2,478.77,513.79,1496.38,1527.93,2433.69,2468.52,3271.83,3307.98
1314,20,m,"1089, 1093, 1096","1 Full B, 2 Full S (identical)",22,0,6,94.47,96.25,73.55,299.66,13.2,485.93,507.56,1455.59,1470.39,2584.89,2557.84,3256.78,3286.75,93.9,95.73,73.2,216.86,9.45,484.36,507.67,1489.92,1486.97,2584.62,2561.02,3256.18,3270.7
1132,26,m,1122,Full,20,,6,97.2,98.71,73.79,268.62,12.35,437.43,477.19,1422.24,1469.01,2376,2411.95,3311.86,3344.36,97.23,99.41,72.13,271.6,12.34,430.97,473.6,1446.65,1497.85,2431.26,2471.44,3536.26,3536.49
1126,29,m,1384,Full,21,0,6,95.38,96.04,74.62,163.33,9.87,456.28,475.09,1462.04,1472.79,2460.82,2466.27,3367.84,3395.35,98.31,99.23,73.39,276.85,16.3,461.3,476.92,1400.03,1420.57,2433.47,2430.79,3367.98,3378.61
1142,32,m,1148,Full,21,0,6,133.86,136.82,88.4,201.05,18.43,418.65,461.71,1374.09,1426.37,2349.77,2379.93,3384.79,3349.13,122.47,125.45,76.75,262.77,20.45,401.58,460.45,1382.87,1435.83,2317.84,2361.69,3251.56,3273.02
1261,33,m,1146,Full,22,0,6,99.75,100.91,73.98,225.49,13.48,432.03,444.99,1526.52,1474.84,2540.4,2491.2,3427.85,3463.04,116.86,117.41,75.35,199.36,18.19,426.97,454.93,1503.84,1476.09,2528.33,2466.05,3368.9,3383.35
1165,39,m,1172,Full,19,0,6,80.94,82.74,73.44,237.06,9.32,437.05,470.84,1570.49,1578.54,2398.86,2416.42,3399.19,3418.13,82.63,84.87,73.51,219.94,9.95,442.51,473.62,1555.27,1553.18,2397.88,2410.67,3360.85,3388.61
1196,45,m,1189,Full,19,1,6,97.24,98.54,74.56,250.2,13.16,444.24,483.77,1410.3,1460.22,2405.65,2423.03,3360.69,3400.11,122.11,124.14,70.92,272.59,15.87,411.2,449.6,1479.39,1496.84,2367.65,2386.14,3243.52,3392.64
1198,47,m,1197,Full,18,0,6,119.36,119.13,72.64,265.91,11.06,400.28,444.2,1473.38,1493.93,2371.72,2361.67,3350.51,3341.24,116.92,117.25,74.58,299.44,13.01,419.71,451.25,1411.68,1445.04,2307.49,2325.81,3335.28,3327.79
1215,50,m,1472,Full,19,0,1,116.04,119.99,80.52,289.35,15.28,425.63,456.19,1440.17,1465.74,2596.1,2559.61,3348.17,3367.42,105.89,107.32,72.68,276.94,12.07,427.55,456.23,1390.27,1424.83,2561.21,2556.91,3373.92,3386.67
1220,52,m,1219,Full,24,1,6,93.84,98.7,72.1,246.95,17.21,395.05,433.26,1449.53,1460.27,2428.38,2436.66,3453.98,3501.22,87.89,91.6,72.35,274.06,15.87,405.31,440.41,1419.56,1445.18,2390.98,2383.79,3337.09,3370.1
1262,60,m,1268,Full,22,0,6,134,135.24,74.45,276.54,27.16,397.29,425.07,1403.5,1413.3,2449.58,2448.58,3383.34,3421.2,110.91,112.1,75.39,236.4,11.33,402.79,438.78,1477.29,1465.01,2408.17,2405.99,3234.18,3288.09
1263,61,m,1376,Full,21,0,6,101.66,102.33,74.88,159.94,13.4,397.59,444.28,1588.1,1581.36,2548.43,2533.76,3459.84,3467.76,112.68,114.85,72.69,225.07,17.74,418.55,464.69,1573.79,1582.62,2613.16,2562.91,3396.36,3424.62
1290,64,m,1269,Full,19,1,6,92.3,95.55,73.6,247.6,14.7,441.78,495.36,1521.66,1516.08,2341.97,2349.65,3191.23,3254.03,89.14,92.59,74.98,249.82,13.45,459.3,500.48,1534.23,1522.51,2341.78,2365.5,3217.29,3282.53
1273,65,m,1272,Full,21,0,6,108.5,109.12,74.05,165.15,12.35,457.74,494.81,1365.23,1438.24,2483.58,2486.55,3421.05,3458.02,,,,,,,,,,,,,
1286,66,m,1277,Full,19,0,6,102.15,105.17,70.21,291.87,16.25,401.08,433.72,1389.65,1412.65,2366.27,2369.06,3456.64,3454.08,109.55,110.71,72.44,259.92,12.76,438.52,459.34,1423.59,1441.39,2472.43,2446.96,3447.66,3479.7
1300,68,m,1479,Full,21,0,6,119.44,120.44,70.17,282.63,15.34,411.4,426.78,1634.06,1612.67,2664.43,2618.53,3471.42,3505.13,126.68,127.53,73.02,200.58,12.67,412.86,440.91,1585.48,1599.37,2736.43,2671.61,3565.96,3580.45
1309,70,m,1308,Full,21,0,6,113.74,115.88,74.82,265.43,14.44,395.09,420.68,1385.48,1409.34,2408.59,2408.31,3197.08,3231.52,103.13,106.28,75.6,301.22,17.23,378.58,417.98,1351.02,1405.37,2425.65,2449.69,3229.02,3290.36
1383,72,m,1315,Full,19,0,6,92.93,93.1,71.93,150.46,7.47,408.96,488.09,1534.5,1575.19,2497.97,2499.08,3253.21,3334.04,,,,,,,,,,,,,
1323,75,m,1322,Full,19,0,2,117.57,119.87,76.54,209.81,10.19,386.65,439.19,1474.74,1499.63,2511.23,2515.19,3547.7,3560.76,112.94,115.09,75.82,297.44,13.53,420.38,451.25,1495.76,1494.35,2503.85,2478.75,3438.85,3467.25
1331,78,m,1343,Full,19,1,6,98.36,99.48,73.99,290.62,10.63,427,453.71,1478.24,1520.58,2470.33,2474.48,3356.86,3390.74,93.11,94.92,74.25,152.12,11.68,427.66,452.76,1479.09,1513.88,2412.98,2418.1,3347.3,3367.1
1364,87,m,1365,Full,22,0,6,98.89,99.38,72.7,231.68,9.99,426.84,461.16,1531.29,1551.42,2367.78,2415.52,3402.26,3448.56,99.76,100.06,70.91,227.43,9.78,416.46,443.72,1463.43,1502.54,2328.88,2409.98,3428.24,3467.61
1392,89,m,1375,Full,20,0,6,89.72,91.15,73.83,290.47,10.88,427.76,459.36,1512.05,1534.64,2429.81,2430.36,3366.04,3364.15,,,,,,,,,,,,,
1379,90,m,2118,Full,20,0,6,103.4,106.32,73.18,267.94,15.91,391.8,457.65,1553.23,1590.16,2453.58,2486.28,3509.96,3560.14,114.62,117.77,77.76,275.99,18.95,413.65,469.94,1532.14,1549.15,2488.94,2506.32,3539.44,3582.17
1396,92,m,1402,Full,20,1,6,102.44,103.62,75.39,295.27,18.64,453.87,497.55,1338.4,1418.21,2513.15,2517.34,3209.8,3282.64,95.25,95.97,74.14,287.09,14.58,448.07,489.14,1397.96,1455.73,2538.33,2553.79,3263.54,3323.3
1409,94,m,1410,Full,21,0,6,121.29,122.95,72.56,299.32,18.14,464.61,525.55,1492.45,1538.28,2508.5,2516.6,3239.69,3268.35,118.29,120.3,74.97,282.28,17.99,438.81,492.89,1484.46,1534.09,2520.03,2517.26,3249.73,3268.61
1484,98,m,1421,Full,21,0,6,102.9,104.4,73.11,299.38,16.63,414.26,452.4,1501.98,1516.35,2608.81,2545.55,3451.76,3449.49,97.24,98.94,71.64,263.53,12.05,411.37,455.16,1524.32,1536.09,2654.23,2600.67,3498.46,3519.49
1450,99,m,1423,Full,22,0,6,95.62,97.74,74.71,240.9,11.32,434.31,482.75,1465.33,1495.93,2442.13,2440.12,3312.39,3339.6,115.16,116.81,74.73,265.54,16.53,447.47,480.49,1427.39,1476.77,2467.7,2452.33,3254.7,3272.58
